Date,Open,High,Low,Close,Volume,Sentiment
2024-01-02,186.03307200647276,187.31538170646215,182.79253333369908,184.53208923339844,82488700,0.0
2024-01-03,183.1205708792931,184.77066759112085,182.3352771284137,183.150390625,58414500,0.0
2024-01-04,181.06291404030495,181.99730650228184,179.80050438167336,180.8243560791016,71983600,0.0
2024-01-05,180.90387243418792,181.6692660827433,179.09472708075188,180.09869384765625,62303300,0.0
2024-01-08,181.0032684531674,184.49233019548157,180.41679326133186,184.4525604248047,59144500,1.0
2024-01-09,182.82234457021028,184.04499955584959,181.63944418662982,184.0350646972656,42841800,0.0
2024-01-10,183.24979649333252,185.2875498615879,182.82235486658107,185.0788116455078,46792900,1.0
2024-01-11,185.4266880302128,185.93365396302406,182.52411695157394,184.4823608398437,49128400,0.0
2024-01-12,184.94955813530052,185.62550766060176,184.08475530494994,184.81039428710932,40444700,1.0
2024-01-16,181.07285998444632,183.16031793652851,179.85018978995151,182.5340881347656,65603000,0.0
2024-01-17,180.18817865322478,181.83826018866833,179.2239664331644,181.5897521972656,47317400,0.0
2024-01-18,184.979392426226,188.01119275141858,184.72094959289208,187.50424194335932,78005800,1.0
2024-01-19,188.20007624137466,190.8044351704297,187.693125392904,190.4167633056641,68741000,1.0
2024-01-22,191.15234200232317,194.16425751836653,191.11257223144145,192.7328491210937,60133900,1.0
2024-01-23,193.8561031440579,194.58174217570732,192.6732027698961,194.01513671875,42355600,1.0
2024-01-24,194.25371040083746,195.20798769039715,193.18015413797895,193.33920288085932,53631300,0.0
2024-01-25,194.05489060585987,195.09862703691502,191.9574828860578,193.0111541748047,54822100,0.0
2024-01-26,193.11057143190595,193.5976373302703,190.79447540505197,191.2716064453125,44594000,0.0
2024-01-29,190.8640821459055,191.05295065599338,188.44859162482356,190.58575439453125,47145600,0.0
2024-01-30,189.80047228297695,190.6553404086777,186.35118003362723,186.9177703857422,55859400,0.0
2024-01-31,185.92372797618197,185.98338263365994,183.24979478995033,183.2994842529297,55467800,0.0
2024-02-01,182.8919451500293,185.83427124755644,182.72296153753896,185.74481201171875,64885400,1.0
2024-02-02,178.78657309445222,186.21199239128737,178.1802130458578,184.74082946777344,102518000,0.0
2024-02-05,187.02710222804,188.120543422021,184.73089088840356,186.55990600585932,69668800,1.0
2024-02-06,185.74481710103248,188.18019242781668,185.6553578627436,188.17025756835932,43490800,1.0
